U1_10RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),SSSV Pressure (atm),Choke Pressure (atm),III Choke Pressure (atm),III pille Temperature (Celcius)
0,9.19.12 18:00,6,622,#N/A,#N/A,#N/A,58,280,108,#N/A,#N/A,816,#N/A,#N/A,#N/A
1,9.19.12 20:00,6,639,#N/A,#N/A,#N/A,89,296,112,#N/A,#N/A,816,#N/A,#N/A,#N/A
2,9.19.12 22:00,8,639,#N/A,#N/A,#N/A,110,311,120,#N/A,#N/A,816,#N/A,#N/A,#N/A
3,9.20.12 0:00,8,639,#N/A,#N/A,#N/A,103,240,116,#N/A,#N/A,755,#N/A,#N/A,#N/A
4,9.20.12 2:00,8,639,#N/A,#N/A,#N/A,120,278,128,#N/A,#N/A,755,#N/A,#N/A,#N/A
5,9.20.12 4:00,8,639,#N/A,#N/A,#N/A,104,294,134,#N/A,#N/A,789,#N/A,#N/A,#N/A
6,9.20.12 6:00,8,639,#N/A,#N/A,#N/A,108,290,105,#N/A,#N/A,796,#N/A,#N/A,#N/A
7,9.20.12 8:00,8,599,#N/A,#N/A,#N/A,126,309,116,#N/A,#N/A,599,#N/A,#N/A,#N/A
8,9.20.12 10:00,8,599,#N/A,#N/A,#N/A,106,321,125,#N/A,#N/A,816,#N/A,#N/A,#N/A
9,9.20.12 12:00,8,490,#N/A,#N/A,#N/A,118,265,126,#N/A,#N/A,789,#N/A,#N/A,#N/A
10,9.20.12 14:00,8,510,#N/A,#N/A,#N/A,104,305,140,#N/A,#N/A,748,#N/A,#N/A,#N/A
11,9.20.12 16:00,8,517,#N/A,#N/A,#N/A,126,330,150,#N/A,#N/A,782,#N/A,#N/A,#N/A
12,9.20.12 18:00,8,517,#N/A,#N/A,#N/A,100,60,60,#N/A,#N/A,782,#N/A,#N/A,#N/A
13,9.20.12 20:00,8,517,#N/A,#N/A,#N/A,120,140,0,#N/A,#N/A,782,#N/A,#N/A,#N/A
14,9.20.12 22:00,8,517,#N/A,#N/A,#N/A,122,200,0,#N/A,#N/A,748,#N/A,#N/A,#N/A
15,9.21.12 0:00,8,517,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,9.21.12 2:00,8,517,#N/A,#N/A,#N/A,88,250,0,#N/A,#N/A,728,#N/A,#N/A,#N/A
17,9.21.12 4:00,8,517,#N/A,#N/A,#N/A,105,255,0,#N/A,#N/A,735,#N/A,#N/A,#N/A
18,9.21.12 6:00,8,517,#N/A,#N/A,#N/A,108,270,15,#N/A,#N/A,735,#N/A,#N/A,#N/A
19,9.21.12 8:00,8,517,#N/A,#N/A,#N/A,120,280,15,#N/A,#N/A,735,#N/A,#N/A,#N/A
20,9.21.12 10:00,8,517,#N/A,#N/A,#N/A,90,285,25,#N/A,#N/A,735,#N/A,#N/A,#N/A
21,9.21.12 12:00,8,517,#N/A,#N/A,#N/A,92,285,25,#N/A,#N/A,680,#N/A,#N/A,#N/A
22,9.21.12 14:00,10,517,#N/A,#N/A,#N/A,95,290,30,#N/A,#N/A,680,#N/A,#N/A,#N/A
23,9.21.12 16:00,10,537,#N/A,#N/A,#N/A,105,300,36,#N/A,#N/A,680,#N/A,#N/A,#N/A
24,9.21.12 18:00,10,537,#N/A,#N/A,#N/A,105,300,36,#N/A,#N/A,680,#N/A,#N/A,#N/A
25,9.21.12 20:00,10,537,#N/A,#N/A,#N/A,110,302,42,#N/A,#N/A,680,#N/A,#N/A,#N/A
26,9.21.12 22:00,10,537,#N/A,#N/A,#N/A,88,305,45,#N/A,#N/A,680,#N/A,#N/A,#N/A
