U1_14RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),SSSV Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
0,12.26.16 10:00 PM,6.5,636,#N/A,#N/A,0,0,0,0,#N/A,0,0,#N/A,0
1,12.27.16 12:00 AM,6.5,637,#N/A,#N/A,163,137,43,#N/A,#N/A,14,959,#N/A,#N/A
2,12.27.16 2:00 AM,6.5,638,846,12436,177,149,0,0,#N/A,14,891,104,#N/A
3,12.27.16 4:00 AM,6.5,638,846,12436,187,151,0,0,#N/A,14,898,104,#N/A
4,12.27.16 6:00 AM,6.5,638,846,12436,194,155,0,0,#N/A,14,912,104,#N/A
5,12.27.16 8:00 AM,6.5,639,846,12436,197,160,0,0,#N/A,14,918,104,#N/A
6,12.27.16 10:00 AM,6.5,639,846,12436,204,162,0,0,#N/A,14,925,104,#N/A
7,12.27.16 12:00 PM,6.5,639,846,12436,211,163,0,0,#N/A,14,939,104,#N/A
8,12.27.16 2:00 PM,6.5,639,833,12245,211,163,0,0,#N/A,14,939,104,#N/A
9,12.27.16 4:00 PM,8.5,639,833,12245,211,163,0,0,#N/A,14,939,104,#N/A
10,12.27.16 6:00 PM,8.5,618,833,12245,211,163,0,0,#N/A,14,939,104,#N/A
11,12.27.16 8:00 PM,8.5,618,833,12245,259,190,0,0,#N/A,14,912,104,#N/A
12,12.27.16 10:00 PM,8.5,617,833,12245,211,180,0,0,#N/A,14,918,104,#N/A
13,12.28.16 12:00 AM,8.5,617,833,12245,#N/A,170,0,0,#N/A,14,929,104,#N/A
14,12.28.16 2:00 AM,8.5,617,833,12245,#N/A,155,0,0,#N/A,14,929,104,#N/A
15,12.28.16 4:00 AM,8.5,617,833,12245,#N/A,141,0,0,#N/A,14,929,104,#N/A
16,12.28.16 6:00 AM,8.5,617,833,12245,0,137,0,0,#N/A,14,929,104,#N/A
17,12.28.16 8:00 AM,8.5,617,833,12245,3,139,0,0,#N/A,14,929,104,#N/A
18,12.28.16 10:00 AM,9.4,604,826,12142,7,145,0,0,#N/A,13,935,104,#N/A
19,12.28.16 12:00 PM,9.4,604,826,12142,14,151,0,0,#N/A,13,952,104,#N/A
20,12.28.16 2:00 PM,9.4,603,826,12142,24,154,0,0,#N/A,13,912,104,#N/A
21,12.28.16 4:00 PM,9.4,603,825,12127,27,156,5,0,#N/A,13,918,104,#N/A
22,12.28.16 6:00 PM,9.4,604,825,12127,27,162,5,0,#N/A,15,925,104,#N/A
23,12.28.16 8:00 PM,9.4,603,825,12127,27,166,8,0,#N/A,13,925,104,#N/A
24,12.28.16 10:00 PM,9.4,603,825,12127,31,169,10,0,#N/A,13,925,104,#N/A
25,12.29.16 12:00 AM,9.4,604,824,12112.8,31,171,12,0,#N/A,13,932,104,#N/A
26,12.29.16 2:00 AM,9.4,603,824,12113,31,171,14,0,#N/A,13,932,104,#N/A
27,12.29.16 4:00 AM,9.4,603,824,12113,34,172,15,0,#N/A,12,932,104,#N/A
28,12.29.16 6:00 AM,9.4,603,824,12113,34,172,15,0,#N/A,12,932,104,#N/A
29,12.29.16 8:00 AM,9.4,603,824,12113,34,168,18,0,#N/A,12,939,104,#N/A
30,12.29.16 10:00 AM,9.4,603,824,12113,34,168,18,0,#N/A,12,939,104,#N/A
31,12.29.16 12:00 PM,9.4,603,824,12113,37,170,20,0,#N/A,11,939,104,#N/A
32,12.29.16 2:00 PM,9.4,603,824,12113,37,170,22,0,#N/A,11,942,104,#N/A
33,12.29.16 4:00 PM,9.4,603,824,12113,41,171,23,0,#N/A,11,942,104,#N/A
34,12.29.16 6:00 PM,9.4,603,824,12113,41,172,24,0,#N/A,11,942,104,#N/A
35,12.29.16 8:00 PM,10.2,593,820,12054,41,174,26,0,#N/A,11,952,104,#N/A
36,12.29.16 10:00 PM,10.2,593,819,12039,42,175,28,0,#N/A,11,956,104,#N/A
37,12.30.16 12:00 AM,10.2,592,819,12039,44,175,30,0,#N/A,11,956,104,#N/A
38,12.30.16 2:00 AM,10.2,592,819,12039,48,175,30,0,#N/A,11,956,104,#N/A
39,12.30.16 4:00 AM,10.2,592,819,12039,51,175,30,0,#N/A,11,963,104,#N/A
40,12.30.16 6:00 AM,10.2,592,819,12039,51,178,34,0,#N/A,11,963,104,#N/A
41,12.30.16 8:00 AM,10.2,592,819,12039,51,180,35,0,#N/A,11,966,104,#N/A
42,12.30.16 10:00 AM,10.2,#N/A,819,12039,51,182,36,0,#N/A,10,966,104,#N/A
43,12.30.16 12:00 PM,10.2,#N/A,818,12024,51,182,36,0,#N/A,10,966,104,#N/A
44,12.30.16 2:00 PM,10.2,#N/A,818,12024,51,182,36,0,#N/A,10,966,104,#N/A
45,12.30.16 4:00 PM,10.2,#N/A,818,12024,51,184,38,0,#N/A,10,973,104,#N/A
46,12.30.16 6:00 PM,10.2,#N/A,818,12024,51,186,40,0,#N/A,10,973,104,#N/A
47,12.30.16 8:00 PM,10.2,#N/A,818,12024,51,187,43,0,#N/A,10,969,104,#N/A
48,12.30.16 10:00 PM,12,589,817,12013,54,188,43,0,#N/A,10,969,104,#N/A
49,12.31.16 12:00 AM,12,588,817,12010,34,89,43,0,#N/A,10,969,104,#N/A
50,12.31.16 2:00 AM,12,586,817,12010,34,93,43,0,#N/A,9,969,104,#N/A
51,12.31.16 4:00 AM,12,584,814,11966,34,93,40,0,#N/A,9,969,104,#N/A
52,12.31.16 6:00 AM,12,582,814,11966,37,100,38,0,#N/A,9,973,104,#N/A
53,12.31.16 8:00 AM,12,580,813,11951,37,102,42,0,#N/A,9,973,104,#N/A
54,12.31.16 10:00 AM,12,577,811,11922,37,104,42,0,#N/A,9,980,104,#N/A
55,12.31.16 12:00 PM,12,577,811,11922,41,106,42,0,#N/A,9,986,104,#N/A
