U1_16RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
0,4.15.19 2:00 AM,14.5,600,778,11427,0,0,0,0,0,0,901,160,90,48,101,1
1,4.15.19 4:00 AM,14.5,586,763,11215,15,0,0,0,0,0,925,211,125,52.9,102,7
2,4.15.19 6:00 AM,14.5,585,762,11199,44,0,5,0,0,0,963,212,127,54.4,103,11
3,4.15.19 8:00 AM,14.5,586,757,11125,45,0,13,0,0,0,891,215,128,54.5,103,12
4,4.15.19 10:00 AM,14.5,580,754,11075,30,0,15,0,0,0,912,250,150,54.5,103,12
5,4.15.19 12:00 PM,14.5,578,753,11072,30,0,25,0,0,0,932,262,153,58.2,104,20
6,4.15.19 2:00 PM,14.5,578,753,11064,40,0,35,0,0,0,949,263,154,58.5,104,20
7,4.15.19 4:00 PM,14.5,578,753,11063,47,0,40,0,0,0,963,267,158,58.6,104,23
8,4.15.19 6:00 PM,14.5,578,753,11062,20,0,45,0,0,0,969,268,159,58.6,104,25
9,4.15.19 8:00 PM,14.5,579,753,11070,33,0,53,0,0,0,980,268,159,59.2,104,25
10,4.15.19 10:00 PM,14.5,580,753,11073,35,0,56,0,0,0,908,268,159,59.4,104,26
11,4.16.19 12:00 AM,14.5,580,754,11074,38,0,60,0,0,0,915,268,159,60.3,104,27
12,4.16.19 2:00 AM,14.5,580,754,11076,40,0,62,0,0,0,915,268,159,60.7,104,27
13,4.16.19 4:00 AM,14.5,580,754,11076,42,0,64,0,0,0,918,268,159,60.6,104,28
14,4.16.19 6:00 AM,14.5,580,754,11078,44,0,66,0,0,0,922,268,159,60.5,104,28
15,4.16.19 8:00 AM,14.5,580,754,11079,40,0,62,0,0,0,922,268,159,60.5,104,28
16,4.16.19 10:00 AM,14.5,580,754,11079,37,0,40,0,0,0,925,268,159,60.5,104,29
17,4.16.19 12:00 PM,14.5,582,755,11095,37,0,45,0,0,0,929,268,159,60,104,29
18,4.16.19 2:00 PM,14.5,582,755,11095,40,0,50,0,0,0,929,263,155,60.4,104,29
19,4.16.19 4:00 PM,14.5,582,755,11095,40,0,50,0,0,0,929,263,155,60.4,104,29
20,4.16.19 6:00 PM,14.5,582,755,11095,40,0,50,0,0,0,929,263,155,60.5,104,29
21,4.16.19 8:00 PM,14.5,582,755,11098,42,0,50,0,0,0,929,263,155,60.6,104,29
22,4.16.19 10:00 PM,14.5,582,755,11098,44,0,50,0,0,0,932,263,155,60.5,104,29
23,4.17.19 12:00 AM,14.5,582,755,11099,44,0,50,0,0,0,935,263,155,60.7,104,29
24,4.17.19 2:00 AM,14.5,582,755,11100,44,0,50,0,0,0,935,263,155,60.8,104,29
25,4.17.19 4:00 AM,14.5,582,755,11100,44,0,52,0,0,0,935,263,155,62,104,30
26,4.17.19 6:00 AM,14.5,582,755,11102,44,0,52,0,0,0,935,263,155,62.5,104,30
27,4.17.19 8:00 AM,14.5,582,755,11101,44,0,53,0,0,0,935,263,155,62.5,104,30
28,4.17.19 10:00 AM,14.5,582,756,11103,47,0,55,0,0,0,935,263,155,62.4,104,30
29,4.17.19 12:00 PM,14.5,582,756,11103,52,0,61,0,0,0,935,263,155,62.4,104,30
30,4.17.19 2:00 PM,14.5,591,763,11217,48,0,59,0,0,0,935,224,132,64.7,104,30
31,4.17.19 4:00 PM,14.5,591,763,11219,46,0,58,0,0,0,932,224,132,64.8,104,30
32,4.17.19 6:00 PM,14.5,590,764,11221,45,0,57,0,0,0,932,224,132,65,104,30
33,4.17.19 8:00 PM,14.5,590,764,11223,44,0,56,0,0,0,929,224,132,65,104,30
34,4.17.19 10:00 PM,14.5,586,760,11175,29,0,46,0,0,0,901,322,221,51,103,27
35,4.18.19 12:00 AM,12.5,586,759,11160,39,0,51,0,0,0,915,331,227,54.7,104,29
36,4.18.19 2:00 AM,12.5,586,759,11154,44,0,54,0,0,0,922,331,227,55.6,104,30
37,4.18.19 4:00 AM,12.5,586,759,11152,47,0,57,0,0,0,929,334,229,56.1,104,31
38,4.18.19 6:00 AM,12.5,586,759,11151,49,0,58,0,0,0,932,333,229,56.4,104,31
39,4.18.19 8:00 AM,12.5,586,759,11149,50,0,59,0,0,0,932,333,230,56.7,104,31
40,4.18.19 10:00 AM,12.5,586,759,11149,51,0,60,0,0,0,932,333,230,56.7,104,31
41,4.18.19 12:00 PM,12.5,586,759,11149,52,0,61,0,0,0,932,333,230,56.6,104,32
42,4.18.19 2:00 PM,12.5,586,759,11148,53,0,62,0,0,0,935,333,230,56.5,104,32
43,4.18.19 4:00 PM,12.5,586,759,11148,53,0,63,0,0,0,935,333,230,56.5,104,31
44,4.18.19 6:00 PM,12.5,586,759,11148,54,0,64,0,0,0,935,333,230,56.7,104,31
45,4.18.19 8:00 PM,12.5,585,759,11148,54,0,64,0,0,0,935,333,230,56.5,104,31
46,4.18.19 10:00 PM,12.5,585,759,11149,55,0,65,0,0,0,939,333,230,56.7,104,32
47,4.19.19 12:00 AM,12.5,586,759,11149,55,0,65,0,0,0,939,333,230,56.7,104,32
