U1_18RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),28x32 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
0,8.20.21 20:00,#N/A,501,657,9651,110,0,78,0,3,0,#N/A,898,152,#N/A,58.4,102,17
1,8.20.21 22:00,#N/A,489,646,9498,110,0,86,0,3,0,#N/A,912,162,#N/A,60.9,102,21
2,8.21.21 0:00,#N/A,481,640,9412,125,0,96,0,3,0,#N/A,898,168,#N/A,61.3,102,23
3,8.21.21 2:00,#N/A,477,637,9365,111,0,92,0,3,0,#N/A,915,178,120,61.5,102,26
4,8.21.21 4:00,#N/A,477,637,9362,118,0,76,0,3,0,#N/A,925,180,120,61.9,102,28
5,8.21.21 6:00,#N/A,479,639,9389,124,0,81,0,3,0,#N/A,929,179,120,61.7,102,29
6,8.21.21 8:00,#N/A,490,648,9519,110,0,82,0,3,0,#N/A,932,163,113,61,102,29
7,8.21.21 10:00,#N/A,504,660,9700,102,0,83,0,3,0,#N/A,932,140,100,60.2,102,29
8,8.21.21 12:00,#N/A,558,710,10428,68,0,72,0,3,0,#N/A,932,50,50,48.8,102,28
9,8.21.21 14:00,#N/A,558,711,10451,12,0,48,0,3,0,#N/A,932,50,50,48.4,101,28
10,8.21.21 16:00,#N/A,559,712,10462,0,0,33,0,3,0,#N/A,857,50,50,48.5,99,28
11,8.21.21 18:00,#N/A,559,712,10468,0,0,33,0,3,0,#N/A,857,50,50,48.5,97,28
12,8.21.21 20:00,#N/A,558,713,10472,0,0,14,0,3,0,#N/A,864,50,50,48.6,96,28
13,8.21.21 22:00,#N/A,558,713,10475,0,0,7,0,3,0,#N/A,871,50,50,51.7,96,28
14,8.22.21 0:00,#N/A,555,711,10444,0,0,3,0,3,0,#N/A,871,50,50,52.3,96,28
15,8.22.21 2:00,#N/A,545,701,10305,0,0,2,0,3,0,#N/A,857,100,100,55.7,99,2
16,8.22.21 4:00,#N/A,534,690,10144,0,0,3,0,3,0,#N/A,857,130,120,58.1,100,4
