Date,Well_Head_Pressure_(atm),Downhole_Gauge_Pressure_(atm),Downhole_Gauge_Pressure_(psi),BHFP_at_Top_Perf_(atm),WellBore_Dynamic_Fluid Density _(kg/m3),Daily_Gas_Production_(1000 m³/day),Daily_Condensate_Production_(ton/day),Daily_Water_Production_(ton/day),Daily_Liquid_Production_(ton/day),Total_Produced_Gas_(1000 m³),Total_Produced_Condensate_(ton),Total_Produced_Water_(ton),Total_Produced_Liquid_(ton),,,,
8.20.21 0:00,490,648,9520,675,385,807,115,3,118,807,115,3,118,,,,
8.21.21 0:00,528,683,10045,710,381,655,94,2,96,1462,209,6,214,,,,
8.22.21 0:00,522,678,9957,704,380,827,118,3,121,2289,327,9,335,,,,
8.23.21 0:00,519,673,9888,699,377,978,140,4,143,3267,466,12,479,,,,
8.24.21 0:00,522,676,9933,702,376,914,131,3,134,4181,597,16,613,,,,
8.25.21 0:00,522,675,9924,701,375,914,131,3,134,5095,727,19,747,,,,
8.26.21 0:00,522,675,9922,701,375,914,131,3,134,6009,858,23,881,,,,
8.27.21 0:00,522,675,9918,701,374,914,131,3,134,6923,989,26,1015,,,,
8.28.21 0:00,521,674,9911,700,375,914,131,3,134,7837,1119,29,1149,,,,
8.29.21 0:00,521,674,9907,700,375,914,131,3,134,8751,1250,33,1282,,,,
8.30.21 0:00,521,674,9899,699,373,914,131,3,134,9664,1380,36,1416,,,,
8.31.21 0:00,520,673,9892,699,374,914,131,3,134,10578,1511,40,1550,,,,
09.01.21 00:00,520,673,9893,699,375,925,134,4,138,11504,1645,43,1688,,,,
09.02.21 00:00,519,672,9880,698,374,925,134,4,138,12429,1779,47,1826,,,,
09.03.21 00:00,519,672,9873,698,374,925,134,4,138,13354,1913,50,1964,,,,
09.04.21 00:00,519,671,9867,697,373,925,134,4,138,14280,2047,54,2101,,,,
09.05.21 00:00,519,671,9861,697,372,925,134,4,138,15205,2182,57,2239,,,,
09.06.21 00:00,518,671,9857,697,373,925,134,4,138,16130,2316,61,2377,,,,
09.07.21 00:00,518,670,9852,696,373,925,134,4,138,17055,2450,65,2515,,,,
09.08.21 00:00,518,670,9847,696,372,925,134,4,138,17981,2584,68,2653,,,,
09.09.21 00:00,518,670,9843,696,371,925,134,4,138,18906,2719,72,2790,,,,
09.10.21 00:00,518,670,9840,695,372,925,134,4,138,19831,2853,75,2928,,,,
09.11.21 00:00,517,669,9835,695,372,925,134,4,138,20756,2987,79,3066,,,,
09.12.21 00:00,517,669,9831,695,372,925,134,4,138,21682,3121,82,3204,,,,
9.13.21 0:00,517,669,9827,694,371,925,134,4,138,22607,3256,86,3341,,,,
9.14.21 0:00,517,668,9824,694,370,925,134,4,138,23532,3390,89,3479,,,,
9.15.21 0:00,516,668,9820,694,371,925,134,4,138,24458,3524,93,3617,,,,
9.16.21 0:00,516,668,9817,694,372,925,134,4,138,25383,3658,96,3755,,,,
9.17.21 0:00,516,668,9814,694,371,925,134,4,138,26308,3793,100,3893,,,,
9.18.21 0:00,516,668,9811,693,371,925,134,4,138,27233,3927,103,4030,,,,
9.19.21 0:00,516,667,9807,693,370,925,134,4,138,28159,4061,107,4168,,,,
9.20.21 0:00,515,667,9803,693,371,925,134,4,138,29084,4195,111,4306,,,,
9.21.21 0:00,515,667,9800,693,371,925,134,4,138,30009,4330,114,4444,,,,
9.22.21 0:00,515,667,9797,692,371,925,134,4,138,30934,4464,118,4581,,,,
9.23.21 0:00,515,666,9793,692,370,925,134,4,138,31860,4598,121,4719,,,,
9.24.21 0:00,515,666,9791,692,370,925,134,4,138,32785,4732,125,4857,,,,
9.25.21 0:00,515,666,9788,692,370,925,134,4,138,33710,4867,128,4995,,,,
9.26.21 0:00,514,666,9784,691,371,925,134,4,138,34636,5001,132,5133,,,,
9.27.21 0:00,514,665,9780,691,370,925,134,4,138,35561,5135,135,5270,,,,
9.28.21 0:00,514,665,9775,691,370,925,134,4,138,36486,5269,139,5408,,,,
9.29.21 0:00,514,665,9774,691,369,925,134,4,138,37411,5403,142,5546,,,,
9.30.21 0:00,514,665,9775,691,370,925,134,4,138,38337,5538,146,5684,,,,
10.01.21 00:00,514,665,9774,691,369,897,133,4,137,39234,5671,149,5820,,,,
10.02.21 00:00,514,665,9771,690,369,897,133,4,137,40131,5804,153,5957,,,,
10.03.21 00:00,514,665,9769,690,369,897,133,4,137,41029,5938,156,6094,,,,
10.04.21 00:00,513,665,9766,690,370,921,137,6,142,41949,6074,162,6236,,,,
10.05.21 00:00,513,664,9764,690,370,921,137,4,140,42870,6211,166,6377,,,,
10.06.21 00:00,513,664,9762,690,370,921,137,4,140,43791,6348,169,6517,,,,
10.07.21 00:00,513,664,9760,690,370,921,137,4,140,44711,6484,173,6657,,,,
